img x1 y1 x2 y2
10 113 61 159 175
13 74 23 174 206
16 152 117 209 194
17 37 17 198 198
18 1 0 224 186
19 25 23 196 199
20 43 15 198 139
22 82 51 184 120
22 1 8 99 72
23 48 49 176 175
29 45 32 176 221
31 3 4 224 224
32 163 42 206 119
35 134 14 179 53
36 56 16 196 122
40 5 19 224 153
41 2 53 224 198
42 1 11 224 209
43 1 55 224 186
45 31 0 193 207
47 16 84 192 203
48 14 25 218 224
50 30 119 107 183
50 120 87 220 172
51 37 101 199 155
54 21 60 206 164
56 0 17 102 77
57 11 36 209 188
58 19 34 201 193
61 3 4 224 224
65 118 60 157 96
65 69 69 116 106
65 18 88 66 128
66 64 58 150 180
69 86 17 145 86
73 130 31 171 80
73 171 33 214 86
74 0 44 224 176
75 33 33 195 144
77 10 33 220 207
78 144 11 187 56
78 157 61 213 118
79 73 74 160 182
79 141 27 206 85
81 48 34 183 134
83 39 76 125 111
85 39 5 90 52
85 25 152 78 206
87 46 40 179 208
90 16 54 120 128
93 14 93 203 224
96 144 38 219 135
96 116 99 192 200
98 22 91 224 181
101 135 12 179 53
101 155 61 207 117
102 39 31 186 183
105 20 30 133 164
106 22 33 67 94
106 143 35 182 89
106 39 164 92 224
110 41 88 186 198
111 76 151 204 203
111 138 80 224 171
113 116 25 197 77
116 7 58 92 184
116 54 11 147 75
117 31 68 202 154
125 7 38 219 193
126 0 0 223 201
130 83 126 177 207
130 147 34 217 82
130 153 84 224 152
136 33 68 81 126
140 1 109 116 224
143 111 115 152 171
143 109 47 147 103
149 21 40 195 183
150 13 108 196 179
156 143 74 222 167
156 68 34 141 113
160 83 102 196 196
163 54 14 125 112
165 5 82 98 153
167 189 53 224 94
167 119 3 152 38
167 192 19 224 52
173 36 127 109 183
176 46 28 177 161
180 47 6 122 39
193 0 0 112 52
195 17 9 193 196
197 43 69 173 177
200 157 49 209 85
200 22 47 74 86
203 71 50 130 85
203 30 93 86 140
207 52 25 170 191
210 22 64 211 169
211 26 22 212 224
213 54 53 146 162
217 0 13 224 212
218 3 42 200 209
226 155 68 212 107
233 20 15 199 213
234 60 39 158 101
235 54 12 190 182
236 48 42 176 209
239 65 58 168 192
240 114 114 224 223
240 113 0 223 106
240 17 129 88 194
242 27 123 152 194
244 60 85 103 139
246 1 156 100 214
246 111 158 224 224
246 130 31 224 80
246 9 55 100 102
249 91 2 161 78
249 147 31 210 129
251 46 79 178 167
254 0 0 198 221
259 39 12 141 145
263 79 36 224 160
266 79 25 146 81
266 9 46 79 111
268 33 21 179 217
270 33 10 197 205
271 0 67 214 165
272 37 120 106 202
272 100 140 147 207
274 0 42 224 202
275 155 106 212 144
275 94 167 159 206
277 159 12 202 46
277 90 86 144 136
280 5 4 106 110
282 112 93 174 162
283 0 92 157 206
285 31 9 197 204
286 42 104 132 155
288 22 100 212 181
289 15 101 109 190
294 75 36 179 136
297 99 112 222 203
297 142 43 224 114
1 0 38 224 224
5 25 48 180 224
600 69 94 173 193
600 141 51 175 80
599 123 110 211 205
598 146 0 223 27
596 20 149 92 205
595 26 50 196 162
593 53 81 182 169
589 16 12 211 215
586 49 51 173 180
584 13 19 162 202
582 25 28 205 194
581 77 0 128 25
580 0 22 82 91
580 51 8 138 66
577 0 31 69 138
575 45 44 124 86
574 28 91 74 160
572 13 0 201 218
570 18 15 173 216
569 142 28 212 135
569 8 120 77 223
569 59 195 120 223
568 171 115 224 181
566 78 0 130 25
565 0 16 223 176
564 11 84 216 211
562 56 46 182 178
561 13 34 200 194
560 68 33 170 162
559 168 27 224 70
557 117 62 207 142
557 112 0 223 31
556 19 58 87 151
554 9 71 224 196
552 72 40 159 106
551 41 58 139 120
550 22 0 188 223
548 58 72 211 179
546 22 3 194 219
545 40 47 83 84
544 40 88 197 165
542 28 60 196 147
541 100 14 149 63
540 114 109 150 171
540 21 36 59 97
540 49 0 85 54
540 109 43 147 105
537 0 51 71 113
534 42 37 117 117
534 162 219 164 224
533 127 87 218 195
532 52 116 125 224
532 116 135 184 224
532 82 75 131 131
530 25 0 208 211
529 109 43 212 128
528 129 25 167 60
527 71 89 180 185
527 72 0 183 36
526 6 0 167 43
524 118 24 217 151
523 36 20 190 209
522 64 97 183 221
521 119 85 219 172
521 4 75 60 124
520 33 19 93 84
520 91 0 140 53
517 96 6 150 66
517 107 87 205 212
514 30 19 223 204
512 47 24 172 167
508 37 37 147 112
506 47 68 141 184
503 150 14 188 62
497 104 55 216 189
496 0 31 70 140
495 52 6 108 57
495 108 12 167 54
493 128 113 219 217
492 68 0 105 40
492 105 0 148 52
492 27 128 64 169
