img x1 y1 x2 y2
8 1 34 188 186
14 14 0 206 224
15 26 39 181 205
24 7 22 219 211
30 31 33 100 114
35 10 40 53 88
37 5 38 184 177
38 0 53 195 224
44 25 38 182 206
46 12 13 210 102
56 111 10 211 61
69 119 30 208 118
71 54 115 178 191
71 109 30 211 99
72 22 116 207 178
73 157 131 202 182
76 33 65 195 167
78 35 38 78 89
85 130 3 173 45
96 92 4 159 76
101 8 39 56 89
104 39 72 199 221
106 106 0 147 51
108 25 89 185 190
110 1 9 93 97
111 182 1 223 82
136 123 44 166 85
137 18 21 215 204
139 44 30 165 198
140 0 0 111 96
143 83 6 121 59
146 14 27 207 212
155 43 50 171 146
156 86 131 176 223
159 32 71 224 181
164 38 23 172 161
165 66 41 162 108
169 23 31 206 174
173 166 23 224 61
177 1 48 224 197
180 22 100 108 150
183 27 51 201 176
185 34 53 183 167
187 107 36 175 122
191 0 51 224 198
198 29 40 178 204
200 157 87 214 137
203 65 8 108 41
206 35 78 196 212
214 9 24 217 207
226 61 61 141 104
227 28 44 130 196
229 0 47 224 213
232 40 12 224 224
244 73 34 114 85
245 35 82 195 199
248 27 31 224 169
257 43 19 193 204
272 132 116 186 174
275 62 59 119 98
277 58 110 103 159
277 168 49 203 75
278 32 20 193 174
286 109 114 190 164
287 0 44 195 167
289 34 22 113 91
297 169 0 224 40
298 13 96 139 160
299 35 61 201 201
3 86 6 224 220
7 22 1 202 199
596 9 62 88 120
594 25 30 86 103
592 181 0 224 55
591 147 15 196 61
585 165 112 222 167
583 16 5 62 76
581 127 0 218 95
580 0 94 92 175
574 55 133 128 223
567 10 6 215 195
566 128 0 218 99
563 8 27 224 157
557 16 71 199 205
557 0 0 95 21
549 87 76 208 172
549 59 15 125 48
544 115 4 207 36
540 84 0 124 60
539 174 63 224 163
538 50 43 182 191
537 39 105 188 213
532 140 50 215 162
531 54 48 109 82
531 186 51 222 78
529 45 17 123 73
526 0 81 224 183
525 39 16 180 215
524 70 110 155 217
521 34 118 105 187
520 136 33 213 133
519 44 15 180 199
518 66 0 224 223
515 17 36 203 147
505 34 37 177 168
504 53 101 168 212
504 116 0 224 65
503 109 53 164 118
499 75 103 223 165
498 34 56 153 140
495 19 113 86 164
495 9 55 69 104
492 142 37 185 93
492 24 33 68 95
489 37 25 161 201
488 4 0 216 224
485 10 0 184 224
484 129 45 218 134
483 103 113 168 194
481 22 23 100 63
478 168 17 223 65
478 179 139 222 178
476 35 14 105 67
467 46 9 105 53
466 117 29 200 122
465 16 41 216 182
464 8 32 204 190
458 157 50 215 124
458 111 0 160 48
456 33 38 208 224
447 143 43 187 87
443 0 121 43 185
440 1 1 224 224
435 59 41 184 164
434 16 52 142 138
433 0 6 93 100
431 56 48 102 90
426 93 13 193 138
423 40 39 194 182
419 126 1 219 97
414 50 93 224 222
410 126 101 224 220
409 0 0 224 193
406 0 47 224 224
405 73 37 200 197
401 28 46 184 199
399 26 37 90 89
398 131 134 166 162
398 145 76 195 116
