img x1 y1 x2 y2
10 71 37 109 113
16 56 14 149 104
22 152 120 223 201
27 1 3 222 224
50 107 23 199 91
56 20 91 173 200
65 22 141 114 201
68 22 15 208 178
69 62 121 136 212
73 83 123 146 196
83 73 120 222 198
90 111 39 190 195
94 39 0 161 206
96 21 92 121 224
100 41 34 196 170
111 1 42 136 200
112 26 0 190 212
116 132 34 224 200
130 0 39 109 114
133 41 99 223 179
134 0 0 210 191
140 109 2 224 91
150 92 23 224 122
156 2 5 66 107
158 1 53 191 191
160 1 0 144 74
160 0 77 78 221
161 16 24 212 202
163 66 131 125 199
165 108 83 224 183
179 22 23 203 199
184 0 1 110 207
193 1 61 220 196
200 54 141 163 181
201 16 23 209 199
218 24 1 219 43
221 61 38 204 174
230 11 26 223 215
234 54 116 184 205
237 24 29 200 207
239 0 2 62 134
242 0 34 147 115
243 31 42 219 200
244 143 79 193 183
246 148 106 224 148
249 18 88 125 224
256 1 17 224 206
266 88 96 202 198
272 120 17 200 115
279 0 2 224 224
282 26 17 128 140
289 85 120 202 216
297 1 30 131 178
300 1 52 218 195
3 0 102 115 224
598 0 22 219 214
590 0 12 223 222
581 83 91 215 224
580 180 63 223 174
577 38 0 209 223
575 69 101 209 194
575 107 0 195 45
574 110 0 204 95
571 0 64 118 205
569 131 129 224 223
566 85 94 213 223
560 0 0 54 150
559 0 62 205 185
557 0 28 21 79
554 96 0 224 105
551 59 131 189 216
548 1 118 116 223
536 8 1 224 183
535 22 24 202 210
532 112 0 211 56
529 22 87 148 206
527 0 71 174 223
522 32 0 207 86
521 103 21 198 91
516 42 52 172 205
512 56 139 224 224
511 15 4 182 169
509 14 31 212 186
502 38 38 172 179
496 39 0 211 223
495 79 108 188 203
491 2 87 224 204
484 0 116 60 224
482 4 70 139 163
482 0 0 131 55
473 0 0 96 58
473 21 191 132 223
466 61 114 200 217
465 102 0 224 35
459 80 38 224 217
459 0 105 35 180
455 23 57 165 191
454 6 1 224 189
452 149 34 224 178
451 0 59 199 205
448 69 0 194 42
445 0 15 162 209
434 127 95 224 194
431 112 140 170 204
430 121 27 196 111
428 27 19 164 224
424 0 39 78 107
422 0 0 62 19
421 18 32 57 143
419 82 89 218 224
418 5 0 223 213
415 6 1 224 188
411 7 11 215 205
403 16 6 211 222
398 27 105 86 167
392 0 68 92 170
381 183 80 224 194
380 0 112 129 224
374 0 69 179 224
373 6 34 221 203
365 116 37 182 105
363 0 98 214 209
363 77 38 171 101
353 127 7 214 123
351 0 0 56 48
350 0 0 111 209
346 106 77 197 204
